Mass,C,H,O,N,C13,S,P,Na,El_comp,Class,NeutralMass,Error_ppm,Candidates,Fansler_DOC_181_SPE_18Dec20_Alder_300SA_p1_1_01_57103,Fansler_DOC_182_SPE_18Dec20_Alder_300SA_p1_1_01_57104,Fansler_DOC_183_SPE_18Dec20_Alder_300SA_p1_1_01_57105,Fansler_DOC_184_SPE_18Dec20_Alder_300SA_p1_1_01_57106,Fansler_DOC_185_SPE_18Dec20_Alder_300SA_p1_1_01_57107,Fansler_DOC_186_SPE_18Dec20_Alder_300SA_p1_1_01_57108,Fansler_DOC_187_SPE_18Dec20_Alder_300SA_p1_1_01_57109,Fansler_DOC_188_SPE_18Dec20_Alder_300SA_p1_1_01_57110,Fansler_DOC_189_SPE_18Dec20_Alder_300SA_p1_1_01_57111,Fansler_DOC_190_SPE_18Dec20_Alder_300SA_p1_1_01_57112,Fansler_DOC_177_SPE_18Dec20_Alder_300SA_p1_1_01_57099,Fansler_DOC_178_SPE_18Dec20_Alder_300SA_p1_1_01_57100,Fansler_DOC_179_SPE_18Dec20_Alder_300SA_p1_1_01_57101,Fansler_DOC_180_SPE_18Dec20_Alder_300SA_p1_1_01_57102
98.8328705945346,0,0,0,0,0,0,0,0,,None,99.8401470614146,0,0,0,0,0,0,0,0,0,0,0,7778082.5,2950400,0,0,0
98.8329926052476,0,0,0,0,0,0,0,0,,None,99.8402690721276,0,0,2397082.5,0,0,0,3401163.5,3531190,3683426,17760338,1830779,0,0,4698589,0,0
98.8330778914263,0,0,0,0,0,0,0,0,,None,99.8403543583063,0,0,0,0,4643819.5,0,0,0,0,0,0,0,0,0,0,0
102.544968287721,0,0,0,0,0,0,0,0,,None,103.552244754601,0,0,0,0,0,0,0,0,0,0,1515053.5,0,0,0,0,0
102.994004818074,0,0,0,0,0,0,0,0,,None,104.001281284954,0,0,0,0,0,0,0,0,0,0,0,5064199.5,0,0,0,0
102.994063700682,0,0,0,0,0,0,0,0,,None,104.001340167562,0,0,0,0,0,0,0,0,0,0,0,0,2647133.8,0,0,0
102.994161237443,0,0,0,0,0,0,0,0,,None,104.001437704323,0,0,2476123.3,0,0,0,2290020.5,2181544.3,3775314.3,10856435,2088591.8,0,0,3678716.8,0,0
102.994253670645,0,0,0,0,0,0,0,0,,None,104.001530137525,0,0,0,0,2470820.8,0,0,0,0,0,0,0,0,0,0,0
103.805330093039,0,0,0,0,0,0,0,0,,None,104.812606559919,0,0,0,0,0,0,0,0,0,0,0,65217400,35164316,0,0,13524938
103.805439100107,0,0,0,0,0,0,0,0,,None,104.812715566987,0,0,33583892,0,0,21948152,29571976,29414890,45453060,117893296,26151338,0,0,51935788,0,0
103.805512231944,0,0,0,0,0,0,0,0,,None,104.812788698824,0,0,0,0,32884932,0,0,0,0,0,0,0,0,0,0,0
103.805957759492,0,0,0,0,0,0,0,0,,None,104.813234226372,0,0,0,0,0,0,0,0,0,0,0,3671437.5,1754191.4,0,0,1513774.3
103.806077789819,0,0,0,0,0,0,0,0,,None,104.813354256699,0,0,2112796,0,0,0,2101306.5,0,2549583,7753601.5,1603627.4,0,0,3113770.3,0,0
103.806146232385,0,0,0,0,0,0,0,0,,None,104.813422699265,0,0,0,0,1963586.1,0,0,0,0,0,0,0,0,0,0,0
103.806597909086,0,0,0,0,0,0,0,0,,None,104.813874375966,0,0,0,0,0,0,0,0,0,0,0,3561757.3,1850721.4,0,0,0
103.806708647366,0,0,0,0,0,0,0,0,,None,104.813985114246,0,0,1804368,0,0,0,1949536.5,0,0,6283209.5,0,0,0,2457322,0,0
103.806795232836,0,0,0,0,0,0,0,0,,None,104.814071699716,0,0,0,0,2144258,0,0,0,0,0,0,0,0,0,0,0
104.134857410081,0,0,0,0,0,0,0,0,,None,105.142133876961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4126218.8
104.344186302672,0,0,0,0,0,0,0,0,,None,105.351462769552,0,0,0,0,0,0,1568776.1,0,0,0,0,0,0,0,0,0
105.033466043149,0,0,0,0,0,0,0,0,,None,106.040742510029,0,0,0,0,0,1879170.4,0,0,0,0,0,0,0,0,0,5306695.5
105.034122543156,0,0,0,0,0,0,0,0,,None,106.041399010036,0,0,0,0,0,1517546.4,0,0,0,0,0,0,0,0,0,6432559.5
105.03539727794,0,0,0,0,0,0,0,0,,None,106.04267374482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3235359.3
105.569333548699,0,0,0,0,0,0,0,0,,None,106.576610015579,0,0,1585429.9,0,0,0,0,0,0,0,0,0,0,0,0,0
105.699170184178,0,0,0,0,0,0,0,0,,None,106.706446651058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015629.9
105.699825184087,0,0,0,0,0,0,0,0,,None,106.707101650967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2045681.8
105.847319375039,0,0,0,0,0,0,0,0,,None,106.854595841919,0,0,0,0,0,0,0,1494314.1,0,0,0,0,0,0,0,0
106.059436473343,0,0,0,0,0,0,0,0,,None,107.066712940223,0,0,0,0,0,0,0,1588333.5,0,0,0,0,0,0,0,0
106.102205438742,0,0,0,0,0,0,0,0,,None,107.109481905622,0,0,0,0,0,0,1943484,0,0,0,0,0,0,0,0,0
106.141287843224,0,0,0,0,0,0,0,0,,None,107.148564310104,0,0,0,0,0,0,0,0,0,0,0,4500492,0,0,0,0
106.141468119746,0,0,0,0,0,0,0,0,,None,107.148744586626,0,0,0,0,0,0,0,0,0,7223403,0,0,0,0,0,0
106.244671009318,0,0,0,0,0,0,0,0,,None,107.251947476198,0,0,0,0,0,1598396.3,0,0,0,0,0,0,0,0,0,0
106.268529763785,0,0,0,0,0,0,0,0,,None,107.275806230665,0,0,0,0,0,0,0,0,0,0,0,2774393,0,0,0,0
106.268680141393,0,0,0,0,0,0,0,0,,None,107.275956608273,0,0,0,0,0,0,0,0,0,7308830.5,0,0,0,0,0,0
106.270052210337,0,0,0,0,0,0,0,0,,None,107.277328677217,0,0,0,0,0,0,0,0,0,0,1484173.1,0,0,0,0,0
106.289677580487,0,0,0,0,0,0,0,0,,None,107.296954047367,0,0,0,0,0,0,0,1564437.3,0,0,0,0,0,0,0,0
106.31504223433,0,0,0,0,0,0,0,0,,None,107.32231870121,0,0,0,0,0,0,0,0,0,0,1514786.9,0,0,0,0,0
106.412871038047,0,0,0,0,0,0,0,0,,None,107.420147504927,0,0,0,0,0,1508046.6,0,0,0,0,0,0,0,0,0,0
106.469364047739,0,0,0,0,0,0,0,0,,None,107.476640514619,0,0,0,0,0,1540615.4,0,0,0,0,0,0,0,0,0,0
106.568272710747,0,0,0,0,0,0,0,0,,None,107.575549177627,0,0,0,0,0,0,0,1597200.5,0,0,0,0,0,0,0,0
106.595139069394,0,0,0,0,0,0,0,0,,None,107.602415536274,0,0,0,0,0,1491851.6,0,0,0,0,0,0,0,0,0,0
106.646895078336,0,0,0,0,0,0,0,0,,None,107.654171545216,0,0,0,0,0,1514284.8,0,0,0,0,0,0,0,0,0,0
106.690730015125,0,0,0,0,0,0,0,0,,None,107.698006482005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1689505.4,0
106.708042088924,0,0,0,0,0,0,0,0,,None,107.715318555804,0,0,0,0,0,1527123,0,0,0,0,0,0,0,0,0,0
106.811829825177,0,0,0,0,0,0,0,0,,None,107.819106292057,0,0,0,0,0,0,0,1534150.9,0,0,0,0,0,0,0,0
107.071924524017,0,0,0,0,0,0,0,0,,None,108.079200990897,0,0,0,0,0,0,1536845.3,0,0,0,0,0,0,0,0,0
107.080793952141,0,0,0,0,0,0,0,0,,None,108.088070419021,0,0,0,0,0,0,0,1538236.9,0,0,0,0,0,0,0,0
107.134393674516,0,0,0,0,0,0,0,0,,None,108.141670141396,0,0,0,0,0,0,0,0,0,0,1654058.3,0,0,0,0,0
107.277687543046,0,0,0,0,0,0,0,0,,None,108.284964009926,0,0,0,0,0,0,1540208.6,0,0,0,0,0,0,0,0,0
107.570117808135,0,0,0,0,0,0,0,0,,None,108.577394275015,0,0,0,1485921,0,0,0,0,0,0,0,0,0,0,0,0
107.665715963231,0,0,0,0,0,0,0,0,,None,108.672992430111,0,0,0,0,0,0,0,0,0,0,1500226.5,0,0,0,0,0
107.826140595364,0,0,0,0,0,0,0,0,,None,108.833417062244,0,0,0,0,0,0,1534657.4,0,0,0,0,0,0,0,0,0
108.02319561473,0,0,0,0,0,0,0,0,,None,109.03047208161,0,0,0,0,0,0,1552613.8,0,0,0,0,0,0,0,0,0
108.066644237988,0,0,0,0,0,0,0,0,,None,109.073920704868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1718782.4,0
108.286086370898,0,0,0,0,0,0,0,0,,None,109.293362837778,0,0,0,0,0,1484395.5,0,0,0,0,0,0,0,0,0,0
108.388103835927,0,0,0,0,0,0,0,0,,None,109.395380302807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1661192.4
108.399741714631,0,0,0,0,0,0,0,0,,None,109.407018181511,0,0,0,1609988.3,0,0,0,0,0,0,0,0,0,0,0,0
